epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,1.1664,0.3412,0.3386,0.9942,1.1664,1.1664,0.0000,0.0000,0.0000,2.7
2,1.1045,0.3355,0.3315,0.9935,1.1045,1.1045,0.0000,0.0000,0.0000,2.1
3,1.1043,0.3453,0.3463,0.9797,1.1043,1.1043,0.0000,0.0000,0.0000,2.2
4,1.0947,0.3558,0.3594,0.9491,1.0947,1.0947,0.0000,0.0000,0.0000,2.2
5,1.0945,0.3478,0.3464,0.9560,1.0945,1.0945,0.3313,0.3270,0.8848,3.7
6,1.0936,0.3447,0.3494,0.9557,1.0936,1.0936,0.0000,0.0000,0.0000,2.0
7,1.0896,0.3447,0.3517,0.9482,1.0896,1.0896,0.0000,0.0000,0.0000,2.0
8,1.0840,0.3501,0.3501,0.9435,1.0840,1.0840,0.0000,0.0000,0.0000,2.0
9,1.0805,0.3483,0.3438,0.9436,1.0805,1.0805,0.0000,0.0000,0.0000,2.0
10,1.0794,0.3454,0.3473,0.9469,1.0794,1.0794,0.3270,0.3485,0.9359,3.7
11,1.0848,0.3457,0.3457,0.9507,1.0848,1.0848,0.0000,0.0000,0.0000,2.1
12,1.0731,0.3515,0.3586,0.9459,1.0731,1.0731,0.0000,0.0000,0.0000,2.1
13,1.0705,0.3493,0.3493,0.9434,1.0705,1.0705,0.0000,0.0000,0.0000,2.1
14,1.0712,0.3547,0.3582,0.9398,1.0712,1.0712,0.0000,0.0000,0.0000,2.1
15,1.0727,0.3447,0.3416,0.9444,1.0727,1.0727,0.3274,0.3395,0.9381,3.8
16,1.0667,0.3547,0.3616,0.9430,1.0667,1.0667,0.0000,0.0000,0.0000,2.1
17,1.0625,0.3515,0.3503,0.9381,1.0625,1.0625,0.0000,0.0000,0.0000,2.2
18,1.0649,0.3506,0.3558,0.9338,1.0649,1.0649,0.0000,0.0000,0.0000,2.1
19,1.0677,0.3475,0.3469,0.9384,1.0677,1.0677,0.0000,0.0000,0.0000,2.1
20,1.0649,0.3602,0.3608,0.9344,1.0649,1.0649,0.3509,0.3520,0.9134,3.8
21,1.0654,0.3546,0.3477,0.9288,1.0654,1.0654,0.0000,0.0000,0.0000,2.1
22,1.0688,0.3430,0.3413,0.9464,1.0688,1.0688,0.0000,0.0000,0.0000,2.0
23,1.0631,0.3417,0.3311,0.9396,1.0631,1.0631,0.0000,0.0000,0.0000,2.0
24,1.0676,0.3537,0.3497,0.9487,1.0676,1.0676,0.0000,0.0000,0.0000,2.1
25,1.0671,0.3542,0.3532,0.9397,1.0671,1.0671,0.3555,0.3605,0.8911,3.9
26,1.0662,0.3606,0.3612,0.9411,1.0662,1.0662,0.0000,0.0000,0.0000,2.2
27,1.0699,0.3367,0.3288,0.9413,1.0699,1.0699,0.0000,0.0000,0.0000,2.2
28,1.0672,0.3497,0.3506,0.9368,1.0672,1.0672,0.0000,0.0000,0.0000,2.1
29,1.0619,0.3522,0.3524,0.9332,1.0619,1.0619,0.0000,0.0000,0.0000,2.1
30,1.0675,0.3496,0.3490,0.9439,1.0675,1.0675,0.3403,0.3260,0.8894,3.7
31,1.0658,0.3583,0.3531,0.9434,1.0658,1.0658,0.0000,0.0000,0.0000,2.3
32,1.0668,0.3498,0.3425,0.9409,1.0668,1.0668,0.0000,0.0000,0.0000,2.1
33,1.0634,0.3574,0.3553,0.9342,1.0634,1.0634,0.0000,0.0000,0.0000,2.2
34,1.0667,0.3502,0.3456,0.9347,1.0667,1.0667,0.0000,0.0000,0.0000,2.2
35,1.0652,0.3504,0.3440,0.9366,1.0652,1.0652,0.3583,0.3510,0.8813,3.8
36,1.0606,0.3572,0.3458,0.9271,1.0606,1.0606,0.0000,0.0000,0.0000,2.1
37,1.0653,0.3517,0.3554,0.9334,1.0653,1.0653,0.0000,0.0000,0.0000,2.1
38,1.0727,0.3422,0.3370,0.9377,1.0727,1.0727,0.0000,0.0000,0.0000,2.1
39,1.0694,0.3543,0.3484,0.9382,1.0694,1.0694,0.0000,0.0000,0.0000,2.1
40,1.0650,0.3510,0.3543,0.9363,1.0650,1.0650,0.3555,0.3395,0.8893,3.8
41,1.0657,0.3496,0.3427,0.9306,1.0657,1.0657,0.0000,0.0000,0.0000,2.1
42,1.0663,0.3538,0.3526,0.9260,1.0663,1.0663,0.0000,0.0000,0.0000,2.1
43,1.0591,0.3523,0.3550,0.9182,1.0591,1.0591,0.0000,0.0000,0.0000,2.1
44,1.0613,0.3508,0.3496,0.9309,1.0613,1.0613,0.0000,0.0000,0.0000,2.1
45,1.0691,0.3499,0.3461,0.9305,1.0691,1.0691,0.3581,0.3350,0.8844,3.8
46,1.0643,0.3510,0.3471,0.9300,1.0643,1.0643,0.0000,0.0000,0.0000,2.0
47,1.0602,0.3457,0.3349,0.9218,1.0602,1.0602,0.0000,0.0000,0.0000,2.1
48,1.0694,0.3404,0.3341,0.9337,1.0694,1.0694,0.0000,0.0000,0.0000,2.0
49,1.0657,0.3525,0.3565,0.9262,1.0657,1.0657,0.0000,0.0000,0.0000,2.0
50,1.0681,0.3453,0.3454,0.9294,1.0681,1.0681,0.3486,0.3480,0.8837,3.7
51,1.0635,0.3479,0.3471,0.9337,1.0635,1.0635,0.0000,0.0000,0.0000,2.1
52,1.0644,0.3439,0.3430,0.9238,1.0644,1.0644,0.0000,0.0000,0.0000,2.0
53,1.0654,0.3534,0.3519,0.9231,1.0654,1.0654,0.0000,0.0000,0.0000,2.0
54,1.0676,0.3451,0.3424,0.9269,1.0676,1.0676,0.0000,0.0000,0.0000,2.1
