epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,1.1574,0.3336,0.3264,1.0009,0.5151,0.5145,0.0000,0.0000,0.0000,1.5
2,1.1054,0.3391,0.3429,0.9922,0.5140,0.5094,0.0000,0.0000,0.0000,0.9
3,1.1039,0.3346,0.3310,0.9991,0.5161,0.5151,0.0000,0.0000,0.0000,0.9
4,1.1022,0.3350,0.3283,0.9963,0.5147,0.5133,0.0000,0.0000,0.0000,0.9
5,1.1029,0.3384,0.3411,0.9901,0.5125,0.5086,0.3392,0.3430,1.0020,2.7
6,1.1011,0.3360,0.3351,0.9944,0.5119,0.5095,0.0000,0.0000,0.0000,0.9
7,1.1003,0.3415,0.3501,0.9865,0.5121,0.5066,0.0000,0.0000,0.0000,1.0
8,1.0995,0.3409,0.3414,0.9824,0.5092,0.5045,0.0000,0.0000,0.0000,1.0
9,1.0991,0.3428,0.3458,0.9809,0.5108,0.5012,0.0000,0.0000,0.0000,1.0
10,1.0998,0.3408,0.3380,0.9821,0.5097,0.5043,0.3384,0.3440,1.0009,3.0
11,1.0997,0.3454,0.3427,0.9796,0.5077,0.5033,0.0000,0.0000,0.0000,1.0
12,1.0987,0.3440,0.3434,0.9765,0.5078,0.5002,0.0000,0.0000,0.0000,1.0
13,1.0968,0.3461,0.3471,0.9721,0.5073,0.4959,0.0000,0.0000,0.0000,1.1
14,1.0989,0.3436,0.3438,0.9765,0.5076,0.5006,0.0000,0.0000,0.0000,1.0
15,1.0954,0.3507,0.3487,0.9657,0.5026,0.4943,0.3335,0.3280,0.9599,3.1
16,1.0934,0.3555,0.3563,0.9605,0.4982,0.4906,0.0000,0.0000,0.0000,1.0
17,1.0927,0.3553,0.3534,0.9570,0.4968,0.4906,0.0000,0.0000,0.0000,1.0
18,1.0943,0.3548,0.3574,0.9556,0.4950,0.4896,0.0000,0.0000,0.0000,0.9
19,1.0919,0.3554,0.3579,0.9548,0.4969,0.4885,0.0000,0.0000,0.0000,1.0
20,1.0896,0.3616,0.3616,0.9457,0.4910,0.4844,0.3301,0.3365,0.9829,2.8
21,1.0903,0.3621,0.3598,0.9399,0.4877,0.4791,0.0000,0.0000,0.0000,1.0
22,1.0890,0.3608,0.3575,0.9417,0.4897,0.4822,0.0000,0.0000,0.0000,1.0
23,1.0873,0.3677,0.3689,0.9295,0.4841,0.4738,0.0000,0.0000,0.0000,1.0
24,1.0836,0.3767,0.3849,0.9151,0.4785,0.4664,0.0000,0.0000,0.0000,1.0
25,1.0810,0.3794,0.3790,0.9038,0.4711,0.4611,0.3580,0.3505,0.9214,2.8
26,1.0898,0.3735,0.3755,0.9254,0.4808,0.4722,0.0000,0.0000,0.0000,2.5
27,1.0749,0.4004,0.4089,0.8730,0.4544,0.4447,0.0000,0.0000,0.0000,1.0
28,1.0653,0.4206,0.4236,0.8373,0.4376,0.4249,0.0000,0.0000,0.0000,1.0
29,1.0439,0.4497,0.4571,0.7805,0.4135,0.3900,0.0000,0.0000,0.0000,0.9
30,1.0235,0.4729,0.4922,0.7418,0.3959,0.3684,0.4910,0.4910,0.6950,2.7
31,1.0023,0.4898,0.5111,0.7073,0.3846,0.3426,0.0000,0.0000,0.0000,0.9
32,0.9872,0.5042,0.5277,0.6845,0.3728,0.3304,0.0000,0.0000,0.0000,0.9
33,0.9745,0.5101,0.5352,0.6704,0.3695,0.3206,0.0000,0.0000,0.0000,1.0
34,0.9589,0.5186,0.5539,0.6586,0.3671,0.3103,0.0000,0.0000,0.0000,1.0
35,0.9522,0.5194,0.5526,0.6534,0.3668,0.3036,0.5252,0.5640,0.6372,2.9
36,0.9359,0.5299,0.5693,0.6357,0.3582,0.2954,0.0000,0.0000,0.0000,0.9
37,0.9254,0.5331,0.5666,0.6321,0.3586,0.2908,0.0000,0.0000,0.0000,0.9
38,0.9127,0.5394,0.5822,0.6204,0.3557,0.2828,0.0000,0.0000,0.0000,0.9
39,0.8984,0.5483,0.5933,0.6082,0.3514,0.2741,0.0000,0.0000,0.0000,1.0
40,0.8887,0.5534,0.5936,0.5972,0.3472,0.2671,0.5516,0.5745,0.6033,2.8
41,0.8749,0.5566,0.6121,0.5931,0.3502,0.2599,0.0000,0.0000,0.0000,1.0
42,0.8655,0.5626,0.6166,0.5808,0.3445,0.2525,0.0000,0.0000,0.0000,0.9
43,0.8505,0.5707,0.6190,0.5678,0.3354,0.2487,0.0000,0.0000,0.0000,1.0
44,0.8406,0.5749,0.6329,0.5602,0.3373,0.2399,0.0000,0.0000,0.0000,0.9
45,0.8263,0.5848,0.6402,0.5438,0.3287,0.2293,0.5741,0.6405,0.5565,2.8
46,0.8232,0.5861,0.6474,0.5409,0.3288,0.2267,0.0000,0.0000,0.0000,1.0
47,0.8148,0.5914,0.6527,0.5339,0.3262,0.2228,0.0000,0.0000,0.0000,0.9
48,0.8101,0.5947,0.6551,0.5260,0.3222,0.2197,0.0000,0.0000,0.0000,0.9
49,0.8002,0.5948,0.6553,0.5299,0.3280,0.2172,0.0000,0.0000,0.0000,0.9
50,0.7875,0.6005,0.6669,0.5179,0.3239,0.2075,0.5835,0.6545,0.5531,2.9
51,0.7858,0.6034,0.6678,0.5135,0.3232,0.2069,0.0000,0.0000,0.0000,2.6
52,0.7772,0.6073,0.6819,0.5075,0.3228,0.1995,0.0000,0.0000,0.0000,1.0
53,0.7689,0.6098,0.6836,0.5035,0.3219,0.1968,0.0000,0.0000,0.0000,1.0
54,0.7554,0.6171,0.6940,0.4907,0.3169,0.1891,0.0000,0.0000,0.0000,1.0
55,0.7485,0.6220,0.6997,0.4839,0.3147,0.1841,0.6412,0.7385,0.4469,2.8
56,0.7412,0.6217,0.7016,0.4833,0.3162,0.1825,0.0000,0.0000,0.0000,1.0
57,0.7396,0.6228,0.7053,0.4827,0.3166,0.1815,0.0000,0.0000,0.0000,1.0
58,0.7377,0.6248,0.7066,0.4784,0.3153,0.1782,0.0000,0.0000,0.0000,1.0
59,0.7237,0.6309,0.7202,0.4688,0.3116,0.1722,0.0000,0.0000,0.0000,0.9
60,0.7186,0.6333,0.7239,0.4642,0.3104,0.1687,0.6315,0.7160,0.4832,2.9
61,0.7129,0.6367,0.7250,0.4586,0.3066,0.1667,0.0000,0.0000,0.0000,1.0
62,0.7101,0.6408,0.7282,0.4535,0.3049,0.1632,0.0000,0.0000,0.0000,1.0
63,0.7073,0.6422,0.7358,0.4507,0.3040,0.1605,0.0000,0.0000,0.0000,1.0
64,0.7096,0.6393,0.7255,0.4547,0.3046,0.1626,0.0000,0.0000,0.0000,0.9
65,0.7043,0.6413,0.7357,0.4505,0.3038,0.1610,0.6319,0.7300,0.4633,3.0
66,0.7023,0.6424,0.7375,0.4487,0.3028,0.1591,0.0000,0.0000,0.0000,0.9
67,0.6956,0.6455,0.7408,0.4457,0.3033,0.1556,0.0000,0.0000,0.0000,0.9
68,0.7000,0.6426,0.7405,0.4500,0.3063,0.1583,0.0000,0.0000,0.0000,0.9
