epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,1.1442,0.3368,0.3368,0.9974,0.5190,0.5142,0.0000,0.0000,0.0000,1.5
2,1.1045,0.3374,0.3334,0.9954,0.5172,0.5155,0.0000,0.0000,0.0000,0.9
3,1.1029,0.3390,0.3363,0.9935,0.5182,0.5126,0.0000,0.0000,0.0000,1.0
4,1.1016,0.3393,0.3390,0.9919,0.5155,0.5139,0.0000,0.0000,0.0000,0.9
5,1.1045,0.3336,0.3256,0.9945,0.5170,0.5142,0.3484,0.3335,0.9736,2.7
6,1.1002,0.3422,0.3358,0.9857,0.5119,0.5105,0.0000,0.0000,0.0000,0.9
7,1.1000,0.3426,0.3454,0.9809,0.5112,0.5062,0.0000,0.0000,0.0000,0.9
8,1.1022,0.3436,0.3487,0.9872,0.5148,0.5094,0.0000,0.0000,0.0000,1.0
9,1.1002,0.3414,0.3389,0.9838,0.5123,0.5060,0.0000,0.0000,0.0000,0.9
10,1.0988,0.3465,0.3442,0.9775,0.5104,0.5025,0.3242,0.3185,0.9995,2.7
11,1.0991,0.3461,0.3423,0.9739,0.5085,0.5010,0.0000,0.0000,0.0000,1.1
12,1.0984,0.3458,0.3469,0.9738,0.5074,0.5027,0.0000,0.0000,0.0000,0.9
13,1.0975,0.3511,0.3521,0.9651,0.5041,0.4973,0.0000,0.0000,0.0000,0.9
14,1.0965,0.3522,0.3579,0.9626,0.5037,0.4945,0.0000,0.0000,0.0000,1.0
15,1.0973,0.3518,0.3545,0.9658,0.5050,0.4974,0.3357,0.3405,0.9806,2.8
16,1.0963,0.3518,0.3574,0.9605,0.5031,0.4932,0.0000,0.0000,0.0000,1.0
17,1.0951,0.3541,0.3578,0.9551,0.4991,0.4923,0.0000,0.0000,0.0000,0.9
18,1.0943,0.3576,0.3674,0.9477,0.4981,0.4858,0.0000,0.0000,0.0000,0.9
19,1.0950,0.3600,0.3655,0.9475,0.4967,0.4853,0.0000,0.0000,0.0000,0.9
20,1.0950,0.3560,0.3565,0.9515,0.4958,0.4893,0.3288,0.3490,1.0113,2.7
21,1.0925,0.3598,0.3662,0.9434,0.4928,0.4836,0.0000,0.0000,0.0000,0.9
22,1.0906,0.3670,0.3714,0.9344,0.4886,0.4785,0.0000,0.0000,0.0000,0.9
23,1.0899,0.3674,0.3769,0.9301,0.4913,0.4732,0.0000,0.0000,0.0000,0.9
24,1.0889,0.3711,0.3707,0.9271,0.4861,0.4744,0.0000,0.0000,0.0000,0.9
25,1.0860,0.3776,0.3883,0.9144,0.4812,0.4655,0.3707,0.3900,0.9117,2.6
26,1.0991,0.3517,0.3512,0.9591,0.4967,0.4931,0.0000,0.0000,0.0000,2.4
27,1.0905,0.3719,0.3783,0.9274,0.4831,0.4747,0.0000,0.0000,0.0000,0.9
28,1.0884,0.3820,0.3909,0.9093,0.4741,0.4663,0.0000,0.0000,0.0000,0.9
29,1.0757,0.4090,0.4206,0.8592,0.4531,0.4362,0.0000,0.0000,0.0000,0.9
30,1.0552,0.4357,0.4466,0.8076,0.4272,0.4069,0.4454,0.4745,0.7870,2.7
31,1.0395,0.4560,0.4727,0.7689,0.4103,0.3852,0.0000,0.0000,0.0000,0.9
32,1.0170,0.4805,0.5051,0.7290,0.3936,0.3605,0.0000,0.0000,0.0000,0.9
33,1.0038,0.4890,0.5085,0.7093,0.3855,0.3478,0.0000,0.0000,0.0000,0.9
34,0.9859,0.5046,0.5331,0.6849,0.3754,0.3311,0.0000,0.0000,0.0000,0.9
35,0.9662,0.5174,0.5385,0.6604,0.3659,0.3167,0.5048,0.5375,0.6844,2.8
36,0.9506,0.5228,0.5503,0.6510,0.3655,0.3079,0.0000,0.0000,0.0000,0.9
37,0.9350,0.5309,0.5709,0.6364,0.3604,0.2962,0.0000,0.0000,0.0000,1.0
38,0.9235,0.5388,0.5815,0.6246,0.3568,0.2892,0.0000,0.0000,0.0000,0.9
39,0.9067,0.5414,0.5852,0.6191,0.3599,0.2799,0.0000,0.0000,0.0000,0.9
40,0.8979,0.5465,0.5937,0.6090,0.3552,0.2737,0.5369,0.5795,0.6182,2.7
41,0.8768,0.5580,0.6084,0.5900,0.3470,0.2627,0.0000,0.0000,0.0000,0.9
42,0.8654,0.5640,0.6185,0.5789,0.3440,0.2544,0.0000,0.0000,0.0000,0.9
43,0.8491,0.5728,0.6320,0.5664,0.3406,0.2453,0.0000,0.0000,0.0000,1.0
44,0.8401,0.5741,0.6350,0.5615,0.3393,0.2410,0.0000,0.0000,0.0000,0.9
