epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,0.6934,0.6629,0.7413,0.4136,0.2709,0.1543,0.0000,0.0000,0.0000,1.8
2,0.6684,0.6758,0.7553,0.3941,0.2636,0.1428,0.0000,0.0000,0.0000,1.0
3,0.6677,0.6774,0.7580,0.3924,0.2625,0.1423,0.0000,0.0000,0.0000,1.0
4,0.6689,0.6757,0.7588,0.3944,0.2648,0.1421,0.0000,0.0000,0.0000,0.9
5,0.6639,0.6788,0.7649,0.3904,0.2621,0.1403,0.6869,0.7730,0.3735,2.8
6,0.6609,0.6771,0.7640,0.3893,0.2613,0.1388,0.0000,0.0000,0.0000,1.0
7,0.6564,0.6823,0.7667,0.3854,0.2601,0.1375,0.0000,0.0000,0.0000,1.1
8,0.6615,0.6771,0.7637,0.3909,0.2636,0.1396,0.0000,0.0000,0.0000,1.1
9,0.6567,0.6816,0.7669,0.3848,0.2601,0.1369,0.0000,0.0000,0.0000,1.0
10,0.6527,0.6826,0.7662,0.3837,0.2593,0.1369,0.7048,0.7895,0.3330,3.1
11,0.6562,0.6798,0.7676,0.3860,0.2613,0.1370,0.0000,0.0000,0.0000,1.1
12,0.6562,0.6823,0.7675,0.3864,0.2609,0.1381,0.0000,0.0000,0.0000,1.1
13,0.6535,0.6821,0.7622,0.3823,0.2581,0.1363,0.0000,0.0000,0.0000,1.1
14,0.6517,0.6836,0.7666,0.3831,0.2591,0.1365,0.0000,0.0000,0.0000,1.2
15,0.6486,0.6855,0.7697,0.3806,0.2586,0.1344,0.6939,0.7880,0.3594,3.0
16,0.6460,0.6852,0.7681,0.3788,0.2565,0.1335,0.0000,0.0000,0.0000,1.0
17,0.6475,0.6847,0.7692,0.3799,0.2596,0.1322,0.0000,0.0000,0.0000,1.0
18,0.6494,0.6858,0.7719,0.3800,0.2578,0.1338,0.0000,0.0000,0.0000,1.0
19,0.6468,0.6837,0.7708,0.3816,0.2601,0.1342,0.0000,0.0000,0.0000,1.0
20,0.6477,0.6847,0.7690,0.3801,0.2586,0.1332,0.6762,0.7655,0.3780,3.0
21,0.6485,0.6854,0.7678,0.3791,0.2565,0.1331,0.0000,0.0000,0.0000,1.0
22,0.6419,0.6866,0.7728,0.3764,0.2582,0.1304,0.0000,0.0000,0.0000,1.0
23,0.6449,0.6878,0.7710,0.3782,0.2567,0.1330,0.0000,0.0000,0.0000,0.9
24,0.6396,0.6862,0.7742,0.3768,0.2585,0.1305,0.0000,0.0000,0.0000,1.0
25,0.6377,0.6894,0.7731,0.3734,0.2559,0.1292,0.6708,0.7615,0.3957,3.0
26,0.6565,0.6803,0.7604,0.3858,0.2587,0.1387,0.0000,0.0000,0.0000,2.6
27,0.6555,0.6812,0.7682,0.3851,0.2600,0.1366,0.0000,0.0000,0.0000,1.0
28,0.6490,0.6835,0.7710,0.3807,0.2571,0.1350,0.0000,0.0000,0.0000,0.9
29,0.6480,0.6831,0.7653,0.3802,0.2557,0.1357,0.0000,0.0000,0.0000,1.0
30,0.6449,0.6872,0.7712,0.3771,0.2551,0.1335,0.6945,0.7760,0.3587,2.8
31,0.6454,0.6851,0.7702,0.3766,0.2549,0.1323,0.0000,0.0000,0.0000,1.0
32,0.6417,0.6912,0.7729,0.3708,0.2505,0.1302,0.0000,0.0000,0.0000,1.0
33,0.6406,0.6880,0.7751,0.3731,0.2540,0.1299,0.0000,0.0000,0.0000,1.0
34,0.6387,0.6922,0.7744,0.3675,0.2481,0.1297,0.0000,0.0000,0.0000,1.0
35,0.6398,0.6871,0.7720,0.3736,0.2533,0.1300,0.6893,0.7685,0.3740,3.0
36,0.6343,0.6910,0.7770,0.3667,0.2499,0.1272,0.0000,0.0000,0.0000,1.0
37,0.6426,0.6872,0.7703,0.3731,0.2517,0.1315,0.0000,0.0000,0.0000,1.0
38,0.6356,0.6902,0.7732,0.3691,0.2509,0.1289,0.0000,0.0000,0.0000,1.0
39,0.6368,0.6929,0.7788,0.3677,0.2486,0.1294,0.0000,0.0000,0.0000,1.0
40,0.6310,0.6952,0.7815,0.3624,0.2464,0.1263,0.6802,0.7425,0.3821,2.9
41,0.6328,0.6933,0.7793,0.3657,0.2493,0.1270,0.0000,0.0000,0.0000,1.0
42,0.6330,0.6942,0.7779,0.3637,0.2482,0.1255,0.0000,0.0000,0.0000,1.0
43,0.6322,0.6944,0.7828,0.3634,0.2474,0.1262,0.0000,0.0000,0.0000,1.0
44,0.6364,0.6908,0.7771,0.3704,0.2516,0.1302,0.0000,0.0000,0.0000,1.0
45,0.6335,0.6921,0.7749,0.3634,0.2477,0.1253,0.6728,0.7700,0.3908,2.8
46,0.6300,0.6952,0.7775,0.3625,0.2463,0.1260,0.0000,0.0000,0.0000,1.0
47,0.6309,0.6940,0.7796,0.3654,0.2482,0.1276,0.0000,0.0000,0.0000,1.0
48,0.6292,0.6962,0.7826,0.3615,0.2464,0.1260,0.0000,0.0000,0.0000,1.0
49,0.6295,0.6930,0.7774,0.3673,0.2513,0.1265,0.0000,0.0000,0.0000,1.0
50,0.6257,0.6951,0.7812,0.3605,0.2461,0.1238,0.6706,0.7480,0.4028,3.0
51,0.6361,0.6918,0.7772,0.3680,0.2485,0.1315,0.0000,0.0000,0.0000,2.5
