epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,0.6793,0.6723,0.7529,0.4034,0.2693,0.1483,0.0000,0.0000,0.0000,1.5
2,0.6586,0.6830,0.7643,0.3866,0.2607,0.1407,0.0000,0.0000,0.0000,0.9
3,0.6513,0.6845,0.7700,0.3831,0.2606,0.1369,0.0000,0.0000,0.0000,0.9
4,0.6507,0.6844,0.7669,0.3831,0.2599,0.1377,0.0000,0.0000,0.0000,0.9
5,0.6525,0.6838,0.7661,0.3835,0.2597,0.1380,0.6745,0.7595,0.3980,2.8
6,0.6460,0.6877,0.7743,0.3788,0.2574,0.1356,0.0000,0.0000,0.0000,0.9
7,0.6437,0.6858,0.7676,0.3799,0.2585,0.1353,0.0000,0.0000,0.0000,1.0
8,0.6398,0.6908,0.7802,0.3748,0.2564,0.1325,0.0000,0.0000,0.0000,0.9
9,0.6415,0.6894,0.7708,0.3756,0.2557,0.1328,0.0000,0.0000,0.0000,0.9
10,0.6392,0.6884,0.7791,0.3770,0.2588,0.1317,0.6978,0.7930,0.3490,3.0
11,0.6355,0.6923,0.7801,0.3722,0.2565,0.1293,0.0000,0.0000,0.0000,0.9
12,0.6324,0.6896,0.7820,0.3753,0.2603,0.1288,0.0000,0.0000,0.0000,1.0
13,0.6356,0.6918,0.7771,0.3715,0.2543,0.1308,0.0000,0.0000,0.0000,1.0
14,0.6332,0.6942,0.7784,0.3703,0.2555,0.1286,0.0000,0.0000,0.0000,1.0
15,0.6328,0.6918,0.7753,0.3728,0.2570,0.1298,0.6614,0.7370,0.4007,3.0
16,0.6315,0.6928,0.7798,0.3720,0.2575,0.1285,0.0000,0.0000,0.0000,1.0
17,0.6322,0.6905,0.7782,0.3739,0.2589,0.1289,0.0000,0.0000,0.0000,1.0
18,0.6294,0.6932,0.7823,0.3681,0.2553,0.1268,0.0000,0.0000,0.0000,0.9
19,0.6326,0.6933,0.7797,0.3690,0.2552,0.1273,0.0000,0.0000,0.0000,1.0
20,0.6305,0.6931,0.7775,0.3681,0.2548,0.1264,0.6992,0.7980,0.3777,2.7
21,0.6275,0.6953,0.7807,0.3664,0.2531,0.1258,0.0000,0.0000,0.0000,0.9
22,0.6240,0.6946,0.7840,0.3648,0.2533,0.1246,0.0000,0.0000,0.0000,0.9
23,0.6265,0.6943,0.7830,0.3693,0.2568,0.1264,0.0000,0.0000,0.0000,0.9
