epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,2.0660,0.2000,0.1957,0.9985,2.0660,2.0660,0.0000,0.0000,0.0000,3.2
2,1.6504,0.2033,0.2106,0.9991,1.6504,1.6504,0.0000,0.0000,0.0000,2.6
3,1.6349,0.2031,0.2023,0.9936,1.6349,1.6349,0.0000,0.0000,0.0000,2.7
4,1.6343,0.2088,0.2042,0.9867,1.6343,1.6343,0.0000,0.0000,0.0000,2.6
5,1.6212,0.2039,0.1980,0.9897,1.6212,1.6212,0.2157,0.2030,0.9703,4.3
6,1.6199,0.2060,0.2078,0.9833,1.6199,1.6199,0.0000,0.0000,0.0000,2.6
7,1.6134,0.2117,0.2154,0.9674,1.6134,1.6134,0.0000,0.0000,0.0000,2.6
8,1.6039,0.2254,0.2327,0.9554,1.6039,1.6039,0.0000,0.0000,0.0000,2.5
9,1.5949,0.2272,0.2255,0.9509,1.5949,1.5949,0.0000,0.0000,0.0000,2.5
10,1.5935,0.2299,0.2390,0.9472,1.5935,1.5935,0.2231,0.2305,0.9397,4.3
11,1.5848,0.2273,0.2261,0.9466,1.5848,1.5848,0.0000,0.0000,0.0000,2.5
12,1.5628,0.2252,0.2276,0.9429,1.5628,1.5628,0.0000,0.0000,0.0000,2.5
13,1.5537,0.2255,0.2258,0.9432,1.5537,1.5537,0.0000,0.0000,0.0000,2.6
14,1.5630,0.2247,0.2210,0.9506,1.5630,1.5630,0.0000,0.0000,0.0000,2.6
15,1.5597,0.2250,0.2314,0.9455,1.5597,1.5597,0.2507,0.2665,0.9131,4.5
16,1.5458,0.2273,0.2335,0.9410,1.5458,1.5458,0.0000,0.0000,0.0000,2.6
17,1.5373,0.2387,0.2383,0.9330,1.5373,1.5373,0.0000,0.0000,0.0000,2.6
18,1.5458,0.2300,0.2284,0.9463,1.5458,1.5458,0.0000,0.0000,0.0000,2.6
19,1.5506,0.2271,0.2285,0.9476,1.5506,1.5506,0.0000,0.0000,0.0000,2.6
20,1.5403,0.2324,0.2395,0.9367,1.5403,1.5403,0.2140,0.2110,0.9228,4.3
21,1.5378,0.2334,0.2393,0.9413,1.5378,1.5378,0.0000,0.0000,0.0000,2.6
22,1.5497,0.2285,0.2277,0.9465,1.5497,1.5497,0.0000,0.0000,0.0000,2.5
23,1.5341,0.2319,0.2327,0.9425,1.5341,1.5341,0.0000,0.0000,0.0000,2.6
24,1.5433,0.2281,0.2241,0.9470,1.5433,1.5433,0.0000,0.0000,0.0000,2.6
25,1.5444,0.2281,0.2316,0.9440,1.5444,1.5444,0.2259,0.2370,0.9229,4.4
26,1.5385,0.2329,0.2344,0.9447,1.5385,1.5385,0.0000,0.0000,0.0000,2.7
27,1.5491,0.2275,0.2339,0.9488,1.5491,1.5491,0.0000,0.0000,0.0000,2.6
28,1.5442,0.2260,0.2255,0.9454,1.5442,1.5442,0.0000,0.0000,0.0000,2.6
29,1.5309,0.2339,0.2426,0.9321,1.5309,1.5309,0.0000,0.0000,0.0000,2.6
30,1.5420,0.2324,0.2364,0.9427,1.5420,1.5420,0.2435,0.2395,0.9157,4.3
31,1.5421,0.2258,0.2318,0.9446,1.5421,1.5421,0.0000,0.0000,0.0000,2.6
32,1.5475,0.2299,0.2322,0.9444,1.5475,1.5475,0.0000,0.0000,0.0000,2.6
33,1.5324,0.2293,0.2331,0.9381,1.5324,1.5324,0.0000,0.0000,0.0000,2.6
34,1.5473,0.2309,0.2366,0.9450,1.5473,1.5473,0.0000,0.0000,0.0000,2.6
35,1.5376,0.2351,0.2332,0.9423,1.5376,1.5376,0.2296,0.2220,0.9398,4.5
36,1.5276,0.2267,0.2223,0.9346,1.5276,1.5276,0.0000,0.0000,0.0000,2.6
37,1.5403,0.2277,0.2273,0.9404,1.5403,1.5403,0.0000,0.0000,0.0000,2.6
38,1.5509,0.2290,0.2295,0.9510,1.5509,1.5509,0.0000,0.0000,0.0000,2.6
39,1.5470,0.2275,0.2380,0.9448,1.5470,1.5470,0.0000,0.0000,0.0000,2.7
40,1.5365,0.2285,0.2299,0.9421,1.5365,1.5365,0.2296,0.2300,0.9128,4.3
41,1.5355,0.2270,0.2280,0.9395,1.5355,1.5355,0.0000,0.0000,0.0000,2.6
42,1.5367,0.2286,0.2287,0.9388,1.5367,1.5367,0.0000,0.0000,0.0000,2.6
43,1.5247,0.2376,0.2396,0.9361,1.5247,1.5247,0.0000,0.0000,0.0000,2.6
44,1.5320,0.2327,0.2354,0.9361,1.5320,1.5320,0.0000,0.0000,0.0000,2.6
45,1.5449,0.2324,0.2346,0.9452,1.5449,1.5449,0.2386,0.2670,0.9080,4.4
46,1.5391,0.2292,0.2322,0.9401,1.5391,1.5391,0.0000,0.0000,0.0000,2.7
47,1.5264,0.2294,0.2308,0.9312,1.5264,1.5264,0.0000,0.0000,0.0000,3.0
48,1.5454,0.2297,0.2308,0.9447,1.5454,1.5454,0.0000,0.0000,0.0000,3.0
49,1.5353,0.2279,0.2279,0.9385,1.5353,1.5353,0.0000,0.0000,0.0000,3.1
50,1.5463,0.2290,0.2303,0.9453,1.5463,1.5463,0.2119,0.2130,0.9056,5.4
51,1.5293,0.2385,0.2455,0.9318,1.5293,1.5293,0.0000,0.0000,0.0000,2.6
52,1.5381,0.2354,0.2398,0.9355,1.5381,1.5381,0.0000,0.0000,0.0000,2.6
53,1.5390,0.2306,0.2278,0.9406,1.5390,1.5390,0.0000,0.0000,0.0000,2.6
54,1.5487,0.2271,0.2275,0.9464,1.5487,1.5487,0.0000,0.0000,0.0000,2.6
55,1.5346,0.2346,0.2382,0.9351,1.5346,1.5346,0.2382,0.2515,0.9039,4.3
56,1.5383,0.2318,0.2381,0.9393,1.5383,1.5383,0.0000,0.0000,0.0000,2.6
57,1.5402,0.2274,0.2265,0.9423,1.5402,1.5402,0.0000,0.0000,0.0000,2.5
58,1.5454,0.2339,0.2340,0.9429,1.5454,1.5454,0.0000,0.0000,0.0000,2.6
59,1.5458,0.2266,0.2311,0.9403,1.5458,1.5458,0.0000,0.0000,0.0000,2.6
60,1.5452,0.2243,0.2315,0.9425,1.5452,1.5452,0.2211,0.2305,0.9119,4.3
61,1.5402,0.2374,0.2383,0.9355,1.5402,1.5402,0.0000,0.0000,0.0000,2.6
62,1.5473,0.2280,0.2293,0.9443,1.5473,1.5473,0.0000,0.0000,0.0000,2.6
63,1.5341,0.2362,0.2431,0.9381,1.5341,1.5341,0.0000,0.0000,0.0000,2.5
64,1.5429,0.2343,0.2389,0.9407,1.5429,1.5429,0.0000,0.0000,0.0000,2.6
65,1.5390,0.2231,0.2215,0.9436,1.5390,1.5390,0.2425,0.2630,0.8993,4.5
66,1.5347,0.2329,0.2378,0.9341,1.5347,1.5347,0.0000,0.0000,0.0000,2.6
67,1.5331,0.2314,0.2235,0.9400,1.5331,1.5331,0.0000,0.0000,0.0000,2.5
68,1.5440,0.2281,0.2198,0.9426,1.5440,1.5440,0.0000,0.0000,0.0000,2.5
69,1.5330,0.2323,0.2339,0.9334,1.5330,1.5330,0.0000,0.0000,0.0000,2.5
70,1.5357,0.2331,0.2357,0.9392,1.5357,1.5357,0.2564,0.2675,0.8919,4.1
71,1.5283,0.2324,0.2306,0.9376,1.5283,1.5283,0.0000,0.0000,0.0000,2.5
72,1.5426,0.2342,0.2364,0.9404,1.5426,1.5426,0.0000,0.0000,0.0000,2.5
73,1.5522,0.2196,0.2226,0.9476,1.5522,1.5522,0.0000,0.0000,0.0000,2.5
74,1.5371,0.2325,0.2356,0.9374,1.5371,1.5371,0.0000,0.0000,0.0000,2.5
75,1.5254,0.2323,0.2415,0.9306,1.5254,1.5254,0.2348,0.2430,0.8945,5.0
76,1.5214,0.2395,0.2479,0.9277,1.5214,1.5214,0.0000,0.0000,0.0000,3.1
77,1.5461,0.2278,0.2259,0.9433,1.5461,1.5461,0.0000,0.0000,0.0000,3.1
78,1.5336,0.2339,0.2382,0.9378,1.5336,1.5336,0.0000,0.0000,0.0000,3.0
79,1.5375,0.2336,0.2349,0.9373,1.5375,1.5375,0.0000,0.0000,0.0000,2.5
80,1.5426,0.2331,0.2367,0.9439,1.5426,1.5426,0.2180,0.2075,0.9237,4.4
81,1.5467,0.2279,0.2260,0.9438,1.5467,1.5467,0.0000,0.0000,0.0000,2.6
82,1.5300,0.2325,0.2321,0.9336,1.5300,1.5300,0.0000,0.0000,0.0000,2.5
83,1.5376,0.2286,0.2341,0.9420,1.5376,1.5376,0.0000,0.0000,0.0000,2.5
84,1.5386,0.2347,0.2427,0.9377,1.5386,1.5386,0.0000,0.0000,0.0000,2.5
85,1.5375,0.2298,0.2341,0.9343,1.5375,1.5375,0.2319,0.2385,0.8721,4.4
86,1.5263,0.2384,0.2429,0.9317,1.5263,1.5263,0.0000,0.0000,0.0000,2.6
87,1.5244,0.2308,0.2388,0.9301,1.5244,1.5244,0.0000,0.0000,0.0000,2.6
88,1.5414,0.2307,0.2320,0.9401,1.5414,1.5414,0.0000,0.0000,0.0000,2.6
89,1.5487,0.2259,0.2266,0.9441,1.5487,1.5487,0.0000,0.0000,0.0000,2.6
90,1.5354,0.2315,0.2334,0.9368,1.5354,1.5354,0.2226,0.2325,0.9242,4.3
91,1.5168,0.2403,0.2438,0.9234,1.5168,1.5168,0.0000,0.0000,0.0000,2.6
92,1.5343,0.2359,0.2403,0.9358,1.5343,1.5343,0.0000,0.0000,0.0000,2.6
93,1.5363,0.2271,0.2288,0.9358,1.5363,1.5363,0.0000,0.0000,0.0000,2.6
94,1.5350,0.2395,0.2408,0.9366,1.5350,1.5350,0.0000,0.0000,0.0000,2.5
95,1.5404,0.2306,0.2356,0.9360,1.5404,1.5404,0.2152,0.2100,0.9267,4.5
96,1.5278,0.2303,0.2303,0.9328,1.5278,1.5278,0.0000,0.0000,0.0000,2.6
97,1.5159,0.2320,0.2342,0.9221,1.5159,1.5159,0.0000,0.0000,0.0000,2.7
98,1.5303,0.2348,0.2393,0.9311,1.5303,1.5303,0.0000,0.0000,0.0000,2.6
99,1.5343,0.2300,0.2305,0.9401,1.5343,1.5343,0.0000,0.0000,0.0000,2.6
100,1.5365,0.2322,0.2331,0.9416,1.5365,1.5365,0.2226,0.2365,0.9300,4.4
101,1.5270,0.2329,0.2339,0.9347,1.5270,1.5270,0.0000,0.0000,0.0000,2.5
102,1.5352,0.2359,0.2332,0.9337,1.5352,1.5352,0.0000,0.0000,0.0000,2.5
103,1.5429,0.2312,0.2371,0.9359,1.5429,1.5429,0.0000,0.0000,0.0000,2.6
104,1.5332,0.2351,0.2346,0.9364,1.5332,1.5332,0.0000,0.0000,0.0000,2.6
105,1.5336,0.2320,0.2306,0.9330,1.5336,1.5336,0.2327,0.2390,0.9180,4.3
106,1.5400,0.2336,0.2340,0.9402,1.5400,1.5400,0.0000,0.0000,0.0000,2.6
107,1.5235,0.2408,0.2438,0.9273,1.5235,1.5235,0.0000,0.0000,0.0000,2.6
108,1.5377,0.2301,0.2321,0.9409,1.5377,1.5377,0.0000,0.0000,0.0000,2.5
109,1.5334,0.2313,0.2352,0.9353,1.5334,1.5334,0.0000,0.0000,0.0000,2.6
110,1.5298,0.2315,0.2333,0.9348,1.5298,1.5298,0.2329,0.2365,0.8935,5.1
111,1.5385,0.2355,0.2364,0.9379,1.5385,1.5385,0.0000,0.0000,0.0000,2.7
112,1.5306,0.2327,0.2350,0.9335,1.5306,1.5306,0.0000,0.0000,0.0000,2.6
113,1.5389,0.2269,0.2296,0.9376,1.5389,1.5389,0.0000,0.0000,0.0000,2.7
114,1.5359,0.2327,0.2380,0.9360,1.5359,1.5359,0.0000,0.0000,0.0000,2.6
115,1.5305,0.2357,0.2431,0.9310,1.5305,1.5305,0.2247,0.2100,0.9374,4.5
116,1.5376,0.2360,0.2409,0.9346,1.5376,1.5376,0.0000,0.0000,0.0000,2.6
117,1.5382,0.2302,0.2324,0.9390,1.5382,1.5382,0.0000,0.0000,0.0000,2.6
