epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,2.2214,0.1999,0.1956,0.9993,0.5725,0.5741,0.0000,0.0000,0.0000,2.1
2,1.6392,0.2025,0.2019,0.9983,0.5728,0.5732,0.0000,0.0000,0.0000,1.3
3,1.6301,0.2040,0.2054,0.9954,0.5711,0.5682,0.0000,0.0000,0.0000,1.3
4,1.6225,0.2066,0.2012,0.9852,0.5663,0.5632,0.0000,0.0000,0.0000,1.3
5,1.6163,0.2096,0.2129,0.9854,0.5660,0.5634,0.2158,0.2225,0.9976,3.2
6,1.6106,0.2179,0.2197,0.9729,0.5619,0.5546,0.0000,0.0000,0.0000,1.3
7,1.6065,0.2242,0.2229,0.9551,0.5521,0.5440,0.0000,0.0000,0.0000,1.3
8,1.6020,0.2320,0.2403,0.9465,0.5490,0.5371,0.0000,0.0000,0.0000,1.3
9,1.5943,0.2396,0.2456,0.9412,0.5432,0.5353,0.0000,0.0000,0.0000,1.4
10,1.5837,0.2356,0.2503,0.9337,0.5372,0.5309,0.2094,0.2065,0.9368,3.2
11,1.5767,0.2368,0.2418,0.9372,0.5416,0.5338,0.0000,0.0000,0.0000,1.4
12,1.5679,0.2329,0.2356,0.9372,0.5404,0.5343,0.0000,0.0000,0.0000,1.3
13,1.5583,0.2379,0.2460,0.9333,0.5379,0.5311,0.0000,0.0000,0.0000,1.3
14,1.5577,0.2394,0.2485,0.9323,0.5398,0.5294,0.0000,0.0000,0.0000,1.3
15,1.5476,0.2399,0.2443,0.9265,0.5348,0.5247,0.2312,0.2315,0.9113,3.2
16,1.5522,0.2411,0.2485,0.9323,0.5404,0.5290,0.0000,0.0000,0.0000,1.4
17,1.5474,0.2411,0.2458,0.9256,0.5367,0.5242,0.0000,0.0000,0.0000,1.3
18,1.5472,0.2489,0.2553,0.9196,0.5342,0.5198,0.0000,0.0000,0.0000,1.3
19,1.5390,0.2466,0.2565,0.9135,0.5305,0.5171,0.0000,0.0000,0.0000,1.4
20,1.5418,0.2507,0.2566,0.9136,0.5330,0.5152,0.2405,0.2485,0.9244,3.3
21,1.5343,0.2553,0.2647,0.9064,0.5281,0.5119,0.0000,0.0000,0.0000,1.3
22,1.5359,0.2547,0.2624,0.9042,0.5271,0.5088,0.0000,0.0000,0.0000,1.3
23,1.5314,0.2588,0.2685,0.8962,0.5234,0.5038,0.0000,0.0000,0.0000,1.3
24,1.5336,0.2637,0.2785,0.8961,0.5246,0.5065,0.0000,0.0000,0.0000,1.3
25,1.5266,0.2680,0.2813,0.8844,0.5180,0.4961,0.2294,0.2395,0.9352,3.3
26,1.5466,0.2337,0.2399,0.9400,0.5312,0.5290,0.0000,0.0000,0.0000,2.6
27,1.5317,0.2407,0.2423,0.9265,0.5248,0.5195,0.0000,0.0000,0.0000,1.3
28,1.5292,0.2386,0.2368,0.9224,0.5255,0.5172,0.0000,0.0000,0.0000,1.3
29,1.5248,0.2454,0.2447,0.9188,0.5209,0.5146,0.0000,0.0000,0.0000,1.3
30,1.5249,0.2466,0.2512,0.9094,0.5197,0.5067,0.2300,0.2160,0.9318,3.3
31,1.5201,0.2531,0.2552,0.9090,0.5182,0.5075,0.0000,0.0000,0.0000,1.3
32,1.5127,0.2486,0.2474,0.8972,0.5126,0.5001,0.0000,0.0000,0.0000,1.3
33,1.5146,0.2590,0.2640,0.8904,0.5092,0.4953,0.0000,0.0000,0.0000,1.3
34,1.5088,0.2588,0.2594,0.8854,0.5076,0.4899,0.0000,0.0000,0.0000,1.4
35,1.5003,0.2696,0.2777,0.8738,0.5039,0.4804,0.2171,0.2060,0.9505,3.2
36,1.4977,0.2801,0.2868,0.8601,0.4975,0.4717,0.0000,0.0000,0.0000,1.3
37,1.4931,0.2817,0.2922,0.8494,0.4940,0.4651,0.0000,0.0000,0.0000,1.3
38,1.4797,0.2960,0.3097,0.8303,0.4838,0.4516,0.0000,0.0000,0.0000,1.3
39,1.4732,0.3028,0.3219,0.8188,0.4816,0.4427,0.0000,0.0000,0.0000,1.3
40,1.4579,0.3155,0.3348,0.7984,0.4715,0.4313,0.2123,0.2000,0.9401,3.3
41,1.4387,0.3261,0.3471,0.7819,0.4656,0.4179,0.0000,0.0000,0.0000,1.3
42,1.4117,0.3443,0.3719,0.7533,0.4531,0.3983,0.0000,0.0000,0.0000,1.3
43,1.3896,0.3570,0.3873,0.7355,0.4451,0.3860,0.0000,0.0000,0.0000,1.3
44,1.3509,0.3696,0.4043,0.7080,0.4334,0.3648,0.0000,0.0000,0.0000,1.3
45,1.3261,0.3845,0.4171,0.6870,0.4223,0.3529,0.2185,0.2310,0.9422,3.3
46,1.2882,0.4060,0.4482,0.6589,0.4099,0.3326,0.0000,0.0000,0.0000,1.3
47,1.2514,0.4187,0.4691,0.6359,0.4015,0.3165,0.0000,0.0000,0.0000,1.3
48,1.2189,0.4336,0.4809,0.6138,0.3893,0.3042,0.0000,0.0000,0.0000,1.3
49,1.1928,0.4434,0.5020,0.5975,0.3846,0.2909,0.0000,0.0000,0.0000,1.3
50,1.1624,0.4534,0.5098,0.5786,0.3755,0.2772,0.2232,0.2280,0.9446,3.4
51,1.5995,0.2278,0.2319,0.9488,0.5396,0.5317,0.0000,0.0000,0.0000,2.6
52,1.5473,0.2391,0.2357,0.9332,0.5291,0.5259,0.0000,0.0000,0.0000,1.4
53,1.5311,0.2440,0.2478,0.9187,0.5246,0.5131,0.0000,0.0000,0.0000,1.3
54,1.5251,0.2515,0.2583,0.9101,0.5206,0.5082,0.0000,0.0000,0.0000,1.3
55,1.5195,0.2609,0.2706,0.8918,0.5139,0.4973,0.2196,0.2310,0.9242,3.2
56,1.5130,0.2704,0.2824,0.8764,0.5095,0.4829,0.0000,0.0000,0.0000,1.3
