epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,2.2789,0.2019,0.1977,1.0024,0.5613,0.5659,0.0000,0.0000,0.0000,1.9
2,1.6390,0.2041,0.2006,0.9966,0.5627,0.5626,0.0000,0.0000,0.0000,1.3
3,1.6330,0.2066,0.2035,0.9916,0.5598,0.5608,0.0000,0.0000,0.0000,1.3
4,1.6235,0.2141,0.2146,0.9817,0.5537,0.5534,0.0000,0.0000,0.0000,1.3
5,1.6097,0.2242,0.2285,0.9618,0.5457,0.5382,0.2540,0.2670,0.9214,3.2
6,1.6034,0.2324,0.2372,0.9443,0.5348,0.5284,0.0000,0.0000,0.0000,1.3
7,1.5906,0.2370,0.2396,0.9321,0.5283,0.5227,0.0000,0.0000,0.0000,1.3
8,1.5802,0.2397,0.2427,0.9315,0.5287,0.5201,0.0000,0.0000,0.0000,1.3
9,1.5714,0.2455,0.2512,0.9290,0.5270,0.5212,0.0000,0.0000,0.0000,1.3
10,1.5571,0.2361,0.2316,0.9310,0.5287,0.5228,0.2260,0.2225,0.9191,3.2
11,1.5518,0.2349,0.2356,0.9299,0.5271,0.5226,0.0000,0.0000,0.0000,1.3
12,1.5508,0.2366,0.2406,0.9288,0.5256,0.5207,0.0000,0.0000,0.0000,1.3
13,1.5427,0.2371,0.2375,0.9248,0.5256,0.5179,0.0000,0.0000,0.0000,1.3
14,1.5506,0.2355,0.2324,0.9314,0.5280,0.5225,0.0000,0.0000,0.0000,1.3
15,1.5406,0.2396,0.2407,0.9243,0.5254,0.5173,0.2199,0.2150,0.9402,3.1
16,1.5398,0.2331,0.2360,0.9254,0.5275,0.5188,0.0000,0.0000,0.0000,1.3
17,1.5315,0.2459,0.2493,0.9129,0.5204,0.5101,0.0000,0.0000,0.0000,1.3
18,1.5391,0.2472,0.2521,0.9193,0.5237,0.5143,0.0000,0.0000,0.0000,1.3
19,1.5339,0.2466,0.2547,0.9136,0.5232,0.5101,0.0000,0.0000,0.0000,1.3
20,1.5355,0.2427,0.2522,0.9175,0.5243,0.5112,0.2258,0.2015,0.9198,3.4
21,1.5299,0.2502,0.2560,0.9085,0.5199,0.5070,0.0000,0.0000,0.0000,1.3
22,1.5302,0.2493,0.2554,0.9081,0.5198,0.5051,0.0000,0.0000,0.0000,1.4
23,1.5278,0.2494,0.2595,0.9028,0.5180,0.5036,0.0000,0.0000,0.0000,1.3
24,1.5210,0.2535,0.2612,0.8983,0.5132,0.4979,0.0000,0.0000,0.0000,1.3
25,1.5253,0.2616,0.2646,0.8959,0.5138,0.4985,0.2190,0.2085,0.9235,3.2
26,1.5477,0.2308,0.2329,0.9466,0.5386,0.5353,0.0000,0.0000,0.0000,2.7
