epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,1.6610,0.2033,0.1989,0.9972,1.6610,1.6610,0.0000,0.0000,0.0000,2.2
2,1.6246,0.2046,0.2034,0.9963,1.6246,1.6246,0.0000,0.0000,0.0000,1.5
3,1.6207,0.2050,0.2118,0.9965,1.6207,1.6207,0.0000,0.0000,0.0000,1.5
4,1.6241,0.2033,0.2043,0.9933,1.6241,1.6241,0.0000,0.0000,0.0000,1.6
5,1.6212,0.2045,0.2068,0.9929,1.6212,1.6212,0.2362,0.2540,0.9758,2.3
6,1.6152,0.2049,0.2093,0.9925,1.6152,1.6152,0.0000,0.0000,0.0000,1.5
7,1.6129,0.2142,0.2160,0.9855,1.6129,1.6129,0.0000,0.0000,0.0000,1.5
8,1.6098,0.2129,0.2168,0.9757,1.6098,1.6098,0.0000,0.0000,0.0000,1.5
9,1.6130,0.2137,0.2191,0.9788,1.6130,1.6130,0.0000,0.0000,0.0000,1.5
10,1.6113,0.2188,0.2108,0.9743,1.6113,1.6113,0.2106,0.1880,0.9174,2.3
11,1.6073,0.2190,0.2224,0.9671,1.6073,1.6073,0.0000,0.0000,0.0000,1.5
12,1.6013,0.2207,0.2188,0.9576,1.6013,1.6013,0.0000,0.0000,0.0000,1.5
13,1.5926,0.2305,0.2355,0.9493,1.5926,1.5926,0.0000,0.0000,0.0000,1.6
14,1.5944,0.2232,0.2271,0.9536,1.5944,1.5944,0.0000,0.0000,0.0000,1.5
15,1.5899,0.2278,0.2311,0.9550,1.5899,1.5899,0.2005,0.1940,0.9889,2.3
16,1.5765,0.2292,0.2269,0.9429,1.5765,1.5765,0.0000,0.0000,0.0000,1.5
17,1.5849,0.2180,0.2156,0.9530,1.5849,1.5849,0.0000,0.0000,0.0000,1.5
18,1.5760,0.2299,0.2328,0.9462,1.5760,1.5760,0.0000,0.0000,0.0000,1.6
19,1.5784,0.2307,0.2291,0.9494,1.5784,1.5784,0.0000,0.0000,0.0000,1.5
20,1.5769,0.2225,0.2188,0.9515,1.5769,1.5769,0.2150,0.2260,0.9485,2.3
21,1.5686,0.2255,0.2232,0.9502,1.5686,1.5686,0.0000,0.0000,0.0000,1.5
22,1.5713,0.2153,0.2150,0.9549,1.5713,1.5713,0.0000,0.0000,0.0000,1.4
23,1.5667,0.2259,0.2227,0.9486,1.5667,1.5667,0.0000,0.0000,0.0000,1.5
24,1.5447,0.2284,0.2284,0.9396,1.5447,1.5447,0.0000,0.0000,0.0000,1.5
25,1.5447,0.2297,0.2262,0.9403,1.5447,1.5447,0.2334,0.2230,0.9144,2.3
26,1.5547,0.2301,0.2311,0.9480,1.5547,1.5547,0.0000,0.0000,0.0000,1.5
