epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,1.5997,0.2593,0.2694,0.9120,0.5355,0.5114,0.0000,0.0000,0.0000,1.5
2,1.5413,0.2925,0.3127,0.8569,0.5112,0.4730,0.0000,0.0000,0.0000,0.9
3,1.5232,0.3040,0.3351,0.8413,0.5059,0.4575,0.0000,0.0000,0.0000,0.9
4,1.5128,0.3070,0.3445,0.8313,0.5037,0.4498,0.0000,0.0000,0.0000,1.0
5,1.5054,0.3105,0.3505,0.8304,0.5036,0.4486,0.3207,0.3715,0.7989,2.7
6,1.4947,0.3151,0.3534,0.8189,0.4980,0.4419,0.0000,0.0000,0.0000,0.9
7,1.4899,0.3180,0.3576,0.8106,0.4936,0.4369,0.0000,0.0000,0.0000,0.9
8,1.4805,0.3206,0.3654,0.8016,0.4894,0.4305,0.0000,0.0000,0.0000,0.9
9,1.4675,0.3247,0.3688,0.7943,0.4880,0.4228,0.0000,0.0000,0.0000,0.9
10,1.4622,0.3218,0.3667,0.7908,0.4844,0.4203,0.3205,0.3640,0.7824,2.7
11,1.4646,0.3239,0.3684,0.7931,0.4872,0.4232,0.0000,0.0000,0.0000,0.9
12,1.4625,0.3250,0.3725,0.7916,0.4863,0.4215,0.0000,0.0000,0.0000,1.0
13,1.4562,0.3244,0.3709,0.7874,0.4825,0.4194,0.0000,0.0000,0.0000,0.9
14,1.4535,0.3270,0.3722,0.7874,0.4835,0.4199,0.0000,0.0000,0.0000,0.9
15,1.4488,0.3278,0.3716,0.7828,0.4798,0.4156,0.3176,0.3510,0.7788,2.7
16,1.4459,0.3319,0.3749,0.7819,0.4823,0.4146,0.0000,0.0000,0.0000,0.9
17,1.4455,0.3299,0.3732,0.7811,0.4804,0.4150,0.0000,0.0000,0.0000,0.9
18,1.4468,0.3326,0.3796,0.7790,0.4804,0.4125,0.0000,0.0000,0.0000,0.9
19,1.4414,0.3293,0.3788,0.7784,0.4802,0.4124,0.0000,0.0000,0.0000,0.9
20,1.4414,0.3292,0.3720,0.7783,0.4808,0.4125,0.3244,0.3585,0.7744,2.7
21,1.4363,0.3321,0.3833,0.7796,0.4815,0.4132,0.0000,0.0000,0.0000,1.0
22,1.4412,0.3296,0.3798,0.7796,0.4796,0.4135,0.0000,0.0000,0.0000,1.0
23,1.4354,0.3338,0.3772,0.7783,0.4800,0.4117,0.0000,0.0000,0.0000,0.9
24,1.4367,0.3325,0.3812,0.7783,0.4808,0.4146,0.0000,0.0000,0.0000,0.9
25,1.4348,0.3321,0.3807,0.7773,0.4798,0.4112,0.2855,0.3395,0.8069,2.9
26,1.4515,0.3190,0.3595,0.7937,0.4783,0.4170,0.0000,0.0000,0.0000,2.3
27,1.4458,0.3231,0.3586,0.7871,0.4718,0.4156,0.0000,0.0000,0.0000,0.9
28,1.4427,0.3225,0.3606,0.7857,0.4738,0.4141,0.0000,0.0000,0.0000,1.0
29,1.4397,0.3253,0.3646,0.7831,0.4705,0.4118,0.0000,0.0000,0.0000,1.0
30,1.4349,0.3281,0.3662,0.7803,0.4704,0.4106,0.3149,0.3500,0.7796,2.8
31,1.4347,0.3269,0.3691,0.7831,0.4713,0.4124,0.0000,0.0000,0.0000,0.9
32,1.4291,0.3275,0.3672,0.7744,0.4672,0.4070,0.0000,0.0000,0.0000,1.0
33,1.4296,0.3317,0.3698,0.7755,0.4698,0.4051,0.0000,0.0000,0.0000,1.0
34,1.4237,0.3342,0.3792,0.7723,0.4670,0.4031,0.0000,0.0000,0.0000,0.9
35,1.4142,0.3372,0.3797,0.7646,0.4651,0.3961,0.3141,0.3615,0.7930,2.7
36,1.4197,0.3373,0.3800,0.7665,0.4655,0.3982,0.0000,0.0000,0.0000,0.9
37,1.4161,0.3400,0.3884,0.7616,0.4639,0.3961,0.0000,0.0000,0.0000,1.0
38,1.4097,0.3414,0.3895,0.7539,0.4598,0.3897,0.0000,0.0000,0.0000,0.9
39,1.4092,0.3427,0.3865,0.7533,0.4620,0.3882,0.0000,0.0000,0.0000,0.9
40,1.4111,0.3434,0.3932,0.7553,0.4620,0.3918,0.3503,0.4095,0.7283,2.8
41,1.4038,0.3455,0.3993,0.7479,0.4605,0.3846,0.0000,0.0000,0.0000,0.9
42,1.4002,0.3492,0.3989,0.7456,0.4588,0.3842,0.0000,0.0000,0.0000,0.9
43,1.3993,0.3528,0.4084,0.7433,0.4591,0.3811,0.0000,0.0000,0.0000,0.9
44,1.3956,0.3483,0.3961,0.7414,0.4558,0.3800,0.0000,0.0000,0.0000,1.0
45,1.3932,0.3513,0.4040,0.7398,0.4564,0.3785,0.3578,0.4110,0.7242,2.8
46,1.3953,0.3477,0.4047,0.7430,0.4582,0.3789,0.0000,0.0000,0.0000,0.9
47,1.3954,0.3551,0.4026,0.7411,0.4581,0.3786,0.0000,0.0000,0.0000,0.9
48,1.3880,0.3555,0.4068,0.7370,0.4554,0.3772,0.0000,0.0000,0.0000,0.9
49,1.3896,0.3583,0.4129,0.7342,0.4542,0.3759,0.0000,0.0000,0.0000,0.9
50,1.3884,0.3555,0.4082,0.7315,0.4529,0.3725,0.3488,0.4005,0.7328,2.7
51,1.4178,0.3432,0.3940,0.7555,0.4650,0.3880,0.0000,0.0000,0.0000,2.5
52,1.4127,0.3497,0.4048,0.7497,0.4604,0.3872,0.0000,0.0000,0.0000,1.0
53,1.4050,0.3475,0.4025,0.7477,0.4600,0.3846,0.0000,0.0000,0.0000,0.9
54,1.4027,0.3482,0.3988,0.7446,0.4585,0.3832,0.0000,0.0000,0.0000,0.9
55,1.4024,0.3497,0.4014,0.7401,0.4561,0.3834,0.3523,0.4130,0.7175,2.6
56,1.4035,0.3527,0.4075,0.7422,0.4584,0.3822,0.0000,0.0000,0.0000,1.0
57,1.3986,0.3514,0.4110,0.7405,0.4584,0.3798,0.0000,0.0000,0.0000,0.9
58,1.3914,0.3588,0.4172,0.7346,0.4554,0.3756,0.0000,0.0000,0.0000,0.9
59,1.3879,0.3592,0.4132,0.7334,0.4523,0.3755,0.0000,0.0000,0.0000,0.9
60,1.3902,0.3624,0.4208,0.7311,0.4539,0.3740,0.3469,0.4030,0.7340,2.8
61,1.3894,0.3563,0.4072,0.7326,0.4551,0.3750,0.0000,0.0000,0.0000,1.0
62,1.3904,0.3563,0.4148,0.7355,0.4547,0.3755,0.0000,0.0000,0.0000,1.0
63,1.3880,0.3589,0.4148,0.7317,0.4549,0.3738,0.0000,0.0000,0.0000,0.9
64,1.3800,0.3585,0.4114,0.7282,0.4506,0.3713,0.0000,0.0000,0.0000,0.9
65,1.3813,0.3627,0.4239,0.7275,0.4517,0.3714,0.3491,0.4070,0.7015,2.8
