epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,1.6114,0.2560,0.2649,0.9246,0.5300,0.5099,0.0000,0.0000,0.0000,1.5
2,1.5409,0.2949,0.3271,0.8577,0.5046,0.4643,0.0000,0.0000,0.0000,1.0
3,1.5254,0.3006,0.3382,0.8451,0.5007,0.4545,0.0000,0.0000,0.0000,1.0
4,1.5182,0.3041,0.3309,0.8379,0.4954,0.4500,0.0000,0.0000,0.0000,0.9
5,1.5083,0.3115,0.3459,0.8317,0.4924,0.4450,0.3271,0.3645,0.7901,2.7
6,1.5043,0.3146,0.3543,0.8252,0.4898,0.4396,0.0000,0.0000,0.0000,1.0
7,1.4998,0.3128,0.3445,0.8237,0.4893,0.4392,0.0000,0.0000,0.0000,1.0
8,1.4935,0.3158,0.3542,0.8184,0.4869,0.4345,0.0000,0.0000,0.0000,1.0
9,1.4848,0.3165,0.3518,0.8090,0.4845,0.4284,0.0000,0.0000,0.0000,1.0
10,1.4740,0.3182,0.3624,0.8005,0.4845,0.4195,0.3273,0.3715,0.7825,2.6
11,1.4709,0.3191,0.3586,0.7986,0.4804,0.4211,0.0000,0.0000,0.0000,0.9
12,1.4664,0.3164,0.3511,0.7931,0.4768,0.4169,0.0000,0.0000,0.0000,1.0
13,1.4604,0.3198,0.3612,0.7909,0.4755,0.4168,0.0000,0.0000,0.0000,1.0
14,1.4569,0.3207,0.3606,0.7885,0.4759,0.4136,0.0000,0.0000,0.0000,0.9
15,1.4536,0.3262,0.3692,0.7819,0.4729,0.4089,0.3107,0.3390,0.8097,2.7
16,1.4504,0.3233,0.3682,0.7808,0.4745,0.4084,0.0000,0.0000,0.0000,0.9
17,1.4455,0.3260,0.3679,0.7770,0.4704,0.4065,0.0000,0.0000,0.0000,1.0
18,1.4494,0.3268,0.3662,0.7815,0.4735,0.4087,0.0000,0.0000,0.0000,1.0
19,1.4471,0.3262,0.3650,0.7791,0.4720,0.4092,0.0000,0.0000,0.0000,1.0
20,1.4468,0.3302,0.3756,0.7771,0.4718,0.4055,0.3333,0.3745,0.7583,2.7
21,1.4376,0.3352,0.3827,0.7718,0.4705,0.4017,0.0000,0.0000,0.0000,1.0
22,1.4359,0.3340,0.3828,0.7686,0.4693,0.3982,0.0000,0.0000,0.0000,1.0
23,1.4351,0.3334,0.3824,0.7687,0.4694,0.4003,0.0000,0.0000,0.0000,1.0
24,1.4278,0.3380,0.3840,0.7604,0.4634,0.3928,0.0000,0.0000,0.0000,0.9
25,1.4281,0.3407,0.3866,0.7618,0.4664,0.3941,0.3357,0.3725,0.7601,2.7
26,1.4559,0.3196,0.3658,0.7908,0.4816,0.4156,0.0000,0.0000,0.0000,2.3
27,1.4499,0.3299,0.3844,0.7790,0.4777,0.4060,0.0000,0.0000,0.0000,1.0
28,1.4414,0.3267,0.3793,0.7777,0.4775,0.4046,0.0000,0.0000,0.0000,1.0
29,1.4396,0.3317,0.3847,0.7722,0.4757,0.4024,0.0000,0.0000,0.0000,1.0
30,1.4376,0.3347,0.3918,0.7692,0.4739,0.3990,0.3277,0.3725,0.7622,2.8
31,1.4295,0.3372,0.3908,0.7625,0.4692,0.3934,0.0000,0.0000,0.0000,1.0
32,1.4255,0.3429,0.4016,0.7571,0.4677,0.3916,0.0000,0.0000,0.0000,1.0
33,1.4256,0.3383,0.3922,0.7583,0.4685,0.3914,0.0000,0.0000,0.0000,1.0
34,1.4246,0.3431,0.4066,0.7570,0.4684,0.3909,0.0000,0.0000,0.0000,1.0
35,1.4187,0.3460,0.4032,0.7515,0.4645,0.3880,0.3493,0.4010,0.7131,2.9
36,1.4154,0.3449,0.4024,0.7476,0.4638,0.3825,0.0000,0.0000,0.0000,1.0
37,1.4165,0.3499,0.4127,0.7506,0.4661,0.3858,0.0000,0.0000,0.0000,1.0
38,1.4135,0.3466,0.4045,0.7486,0.4648,0.3849,0.0000,0.0000,0.0000,0.9
39,1.4105,0.3489,0.4108,0.7471,0.4660,0.3824,0.0000,0.0000,0.0000,0.9
40,1.4102,0.3473,0.4008,0.7460,0.4631,0.3839,0.3181,0.3400,0.7739,2.7
41,1.4096,0.3515,0.4109,0.7434,0.4625,0.3814,0.0000,0.0000,0.0000,1.0
42,1.4059,0.3551,0.4146,0.7421,0.4619,0.3790,0.0000,0.0000,0.0000,1.0
43,1.4054,0.3475,0.4105,0.7435,0.4648,0.3794,0.0000,0.0000,0.0000,1.0
44,1.4039,0.3545,0.4065,0.7385,0.4599,0.3768,0.0000,0.0000,0.0000,0.9
45,1.4002,0.3558,0.4180,0.7392,0.4617,0.3771,0.3418,0.4125,0.7349,2.6
46,1.3987,0.3545,0.4125,0.7383,0.4610,0.3768,0.0000,0.0000,0.0000,0.9
47,1.4007,0.3527,0.4125,0.7405,0.4634,0.3784,0.0000,0.0000,0.0000,0.9
48,1.3965,0.3574,0.4192,0.7372,0.4605,0.3751,0.0000,0.0000,0.0000,0.9
49,1.3982,0.3512,0.4201,0.7381,0.4605,0.3747,0.0000,0.0000,0.0000,0.9
50,1.3936,0.3588,0.4251,0.7353,0.4610,0.3750,0.3332,0.3845,0.7538,2.6
51,1.4197,0.3395,0.3922,0.7548,0.4631,0.3916,0.0000,0.0000,0.0000,2.2
52,1.4115,0.3441,0.3992,0.7468,0.4579,0.3863,0.0000,0.0000,0.0000,0.9
53,1.4090,0.3478,0.4026,0.7443,0.4597,0.3849,0.0000,0.0000,0.0000,0.9
54,1.4085,0.3516,0.4089,0.7446,0.4591,0.3832,0.0000,0.0000,0.0000,0.9
55,1.4056,0.3453,0.4000,0.7458,0.4609,0.3833,0.3506,0.4075,0.7359,2.6
56,1.4015,0.3467,0.4025,0.7409,0.4576,0.3818,0.0000,0.0000,0.0000,1.0
57,1.4033,0.3513,0.4097,0.7409,0.4578,0.3802,0.0000,0.0000,0.0000,1.0
58,1.3990,0.3525,0.4085,0.7388,0.4554,0.3797,0.0000,0.0000,0.0000,1.0
59,1.3956,0.3500,0.4016,0.7406,0.4578,0.3806,0.0000,0.0000,0.0000,1.0
60,1.3946,0.3492,0.4050,0.7354,0.4546,0.3770,0.3450,0.3945,0.7072,2.7
61,1.3966,0.3506,0.4091,0.7424,0.4608,0.3816,0.0000,0.0000,0.0000,0.9
62,1.3935,0.3526,0.4045,0.7340,0.4532,0.3769,0.0000,0.0000,0.0000,0.9
63,1.3900,0.3552,0.4160,0.7320,0.4533,0.3752,0.0000,0.0000,0.0000,0.9
64,1.3889,0.3549,0.4098,0.7345,0.4569,0.3746,0.0000,0.0000,0.0000,0.9
65,1.3874,0.3593,0.4201,0.7277,0.4504,0.3736,0.3483,0.3780,0.7200,2.5
66,1.3874,0.3553,0.4165,0.7313,0.4538,0.3738,0.0000,0.0000,0.0000,0.9
67,1.3834,0.3556,0.4106,0.7322,0.4548,0.3736,0.0000,0.0000,0.0000,0.9
68,1.3769,0.3605,0.4233,0.7244,0.4499,0.3683,0.0000,0.0000,0.0000,0.9
69,1.3816,0.3527,0.4081,0.7320,0.4548,0.3733,0.0000,0.0000,0.0000,0.9
70,1.3777,0.3606,0.4202,0.7237,0.4492,0.3680,0.3613,0.4340,0.7193,2.7
71,1.3817,0.3583,0.4225,0.7269,0.4527,0.3720,0.0000,0.0000,0.0000,0.9
72,1.3856,0.3560,0.4178,0.7326,0.4559,0.3748,0.0000,0.0000,0.0000,0.9
73,1.3750,0.3636,0.4295,0.7238,0.4510,0.3686,0.0000,0.0000,0.0000,1.0
74,1.3779,0.3614,0.4255,0.7273,0.4534,0.3713,0.0000,0.0000,0.0000,1.0
75,1.3794,0.3587,0.4214,0.7270,0.4542,0.3691,0.3285,0.3830,0.7552,2.7
76,1.4186,0.3446,0.3930,0.7541,0.4615,0.3886,0.0000,0.0000,0.0000,2.2
77,1.4140,0.3463,0.4067,0.7532,0.4635,0.3880,0.0000,0.0000,0.0000,0.9
78,1.4046,0.3509,0.4061,0.7453,0.4590,0.3825,0.0000,0.0000,0.0000,0.9
79,1.4046,0.3505,0.4062,0.7450,0.4605,0.3831,0.0000,0.0000,0.0000,0.9
80,1.4068,0.3512,0.4061,0.7460,0.4597,0.3839,0.3398,0.3875,0.6925,2.6
81,1.4033,0.3491,0.4099,0.7451,0.4611,0.3809,0.0000,0.0000,0.0000,1.0
82,1.4015,0.3562,0.4154,0.7398,0.4578,0.3787,0.0000,0.0000,0.0000,0.9
83,1.3944,0.3600,0.4201,0.7378,0.4591,0.3767,0.0000,0.0000,0.0000,0.9
84,1.3932,0.3577,0.4192,0.7348,0.4560,0.3744,0.0000,0.0000,0.0000,0.9
85,1.3926,0.3543,0.4165,0.7388,0.4577,0.3785,0.3564,0.3945,0.6961,2.5
86,1.3874,0.3594,0.4168,0.7327,0.4546,0.3731,0.0000,0.0000,0.0000,0.9
87,1.3969,0.3504,0.4146,0.7414,0.4602,0.3797,0.0000,0.0000,0.0000,0.9
88,1.3885,0.3601,0.4279,0.7343,0.4544,0.3747,0.0000,0.0000,0.0000,0.9
89,1.3892,0.3542,0.4081,0.7348,0.4560,0.3751,0.0000,0.0000,0.0000,0.9
90,1.3846,0.3571,0.4190,0.7308,0.4540,0.3721,0.3339,0.4080,0.7778,2.6
91,1.3853,0.3581,0.4220,0.7340,0.4566,0.3725,0.0000,0.0000,0.0000,0.9
92,1.3763,0.3575,0.4151,0.7304,0.4539,0.3696,0.0000,0.0000,0.0000,0.9
