dataset,K,N,d_raw,d_ctx,feature_map,n_shuffles,BANDHA_T200,LinUCB_T200,win_LinUCB_pct,win_or_tie_LinUCB_pct,LinTS_T200,win_LinTS_pct,win_or_tie_LinTS_pct,EpsGreedy_T200,win_EpsGreedy_pct,win_or_tie_EpsGreedy_pct,Random_T200,win_Random_pct,win_or_tie_Random_pct
iris,3,150,4,3,pca,30,19.733333333333334,39.96666666666667,100.0,100.0,55.0,100.0,100.0,134.8,100.0,100.0,130.66666666666666,100.0,100.0
wine,3,178,13,3,pca,30,12.866666666666667,17.266666666666666,93.33333333333333,96.66666666666667,31.3,100.0,100.0,130.33333333333334,100.0,100.0,133.56666666666666,100.0,100.0
balance-scale,3,625,4,3,pca,30,50.2,56.93333333333333,70.0,73.33333333333333,68.23333333333333,93.33333333333333,93.33333333333333,120.16666666666667,100.0,100.0,133.2,100.0,100.0
cmc,3,1473,9,3,pca,30,120.2,122.83333333333333,66.66666666666666,70.0,126.26666666666667,73.33333333333333,76.66666666666667,119.86666666666666,50.0,53.333333333333336,132.63333333333333,80.0,80.0
page-blocks,5,5473,10,3,pca,30,24.166666666666668,79.9,100.0,100.0,101.96666666666667,100.0,100.0,33.53333333333333,96.66666666666667,96.66666666666667,161.26666666666668,100.0,100.0
satimage,6,6430,36,3,pca,30,57.86666666666667,62.666666666666664,66.66666666666666,70.0,104.23333333333333,100.0,100.0,153.93333333333334,100.0,100.0,166.66666666666666,100.0,100.0
shuttle,7,58000,9,3,pca,30,41.3,72.0,100.0,100.0,112.56666666666666,100.0,100.0,55.13333333333333,93.33333333333333,93.33333333333333,172.86666666666667,100.0,100.0
segment,7,2310,19,3,pca,30,90.4,116.5,90.0,90.0,143.16666666666666,100.0,100.0,173.53333333333333,100.0,100.0,170.7,100.0,100.0
covertype,7,110393,54,3,pca,30,125.03333333333333,139.06666666666666,76.66666666666667,76.66666666666667,157.3,96.66666666666667,96.66666666666667,148.26666666666668,80.0,83.33333333333334,171.8,100.0,100.0
texture,11,5500,40,3,pca,30,135.9,146.76666666666668,70.0,73.33333333333333,172.63333333333333,100.0,100.0,180.8,100.0,100.0,180.93333333333334,100.0,100.0
yeast,10,1484,8,3,pca,30,139.93333333333334,153.2,83.33333333333334,86.66666666666667,172.4,100.0,100.0,144.46666666666667,66.66666666666666,73.33333333333333,181.53333333333333,100.0,100.0
pendigits,10,10992,16,3,pca,30,123.0,135.73333333333332,83.33333333333334,83.33333333333334,164.33333333333334,100.0,100.0,180.43333333333334,100.0,100.0,179.86666666666667,100.0,100.0
volkert,10,58310,180,3,pca,30,145.6,144.26666666666668,43.333333333333336,46.666666666666664,171.5,96.66666666666667,100.0,172.46666666666667,93.33333333333333,96.66666666666667,179.66666666666666,100.0,100.0
optdigits,10,5620,64,3,pca,30,126.06666666666666,132.13333333333333,70.0,70.0,166.5,100.0,100.0,180.06666666666666,100.0,100.0,180.2,100.0,100.0
letter,26,20000,16,3,pca,30,187.7,189.8,56.666666666666664,66.66666666666666,192.0,70.0,76.66666666666667,191.43333333333334,76.66666666666667,83.33333333333334,192.46666666666667,80.0,86.66666666666667
vehicle,4,846,18,3,pca,30,122.33333333333333,120.7,36.666666666666664,46.666666666666664,134.33333333333334,86.66666666666667,86.66666666666667,149.56666666666666,100.0,100.0,150.26666666666668,100.0,100.0
jannis,4,83733,54,3,pca,30,107.1,109.16666666666667,50.0,56.666666666666664,125.33333333333333,90.0,93.33333333333333,133.3,93.33333333333333,93.33333333333333,148.9,100.0,100.0
